id,name,length,width,height,weight,category,priority,fragility,stackable,access_freq,can_rotate
SYN-c1964b6d,Synthetic pizza 1,1.17,0.79,0.52,15.54,pizza,3,0,1,5,1
SYN-71ab8b24,Synthetic confectionery 2,0.77,0.63,0.54,11.86,confectionery,2,1,0,1,1
SYN-f4d9452c,Synthetic bakery products 3,1.18,0.8,0.47,14.66,bakery products,2,1,0,3,1
SYN-c2a513c1,Synthetic side dish 4,1.18,0.8,0.54,14.49,side dish,3,0,1,4,1
SYN-b2f03bab,Synthetic red meat 5,1.08,0.5,0.5,16.69,red meat,3,0,1,10,1
SYN-5dd40851,Synthetic confectionery 6,1.13,0.44,0.44,15.08,confectionery,2,1,0,2,1
SYN-91916289,Synthetic pizza 7,0.96,0.58,0.32,13.99,pizza,1,0,1,7,1
SYN-9214437c,Synthetic fish 8,0.88,0.44,0.42,8.95,fish,3,0,1,8,1
SYN-cb1b87c1,Synthetic bakery products 9,1.13,0.38,0.48,13.66,bakery products,3,1,0,5,1
SYN-98491ed6,Synthetic fish 10,0.79,0.49,0.47,5.05,fish,1,0,0,6,1
SYN-b5824440,Synthetic pizza 11,1.12,0.44,0.64,10.08,pizza,3,0,1,1,1
SYN-ae10f345,Synthetic confectionery 12,0.67,0.42,0.6,10.4,confectionery,2,1,0,9,1
SYN-272028ec,Synthetic vegetables 13,1.05,0.47,0.49,11.55,vegetables,3,1,0,5,1
SYN-56d1f87e,Synthetic vegetables 14,0.66,0.41,0.6,11.03,vegetables,3,1,0,2,1
SYN-fcc6bcb0,Synthetic vegetables 15,0.76,0.56,0.33,6.03,vegetables,1,1,0,2,1
SYN-51e99916,Synthetic seafood 16,1.17,0.76,0.16,17.64,seafood,1,0,1,7,1
SYN-5629bcaa,Synthetic pizza 17,0.79,0.58,0.37,9.79,pizza,3,0,1,8,1
SYN-0058bc20,Synthetic bakery products 18,0.58,0.43,0.46,11.86,bakery products,3,1,0,6,1
SYN-1f451fc5,Synthetic ice cream 19,0.82,0.74,0.27,13.62,ice cream,3,1,0,4,1
SYN-5edab689,Synthetic poultry 20,1.02,0.47,0.44,11.48,poultry,2,0,1,3,1
SYN-57215e78,Synthetic red meat 21,0.73,0.5,0.63,16.25,red meat,1,0,1,1,1
SYN-290bffa1,Synthetic ice cream 22,0.77,0.53,0.59,19.75,ice cream,2,1,0,4,1
SYN-d0dcaab7,Synthetic confectionery 23,1.09,0.36,0.48,11.16,confectionery,3,1,0,8,1
SYN-b12f51b8,Synthetic confectionery 24,0.78,0.52,0.6,20.24,confectionery,2,1,0,8,1
SYN-8dd9d267,Synthetic vegetables 25,1.14,0.38,0.48,12.45,vegetables,1,1,0,10,1
SYN-99f33199,Synthetic potatoe products 26,1.15,0.43,0.45,15.16,potatoe products,2,0,1,2,1
SYN-5e0bd928,Synthetic candy 27,1.06,0.47,0.47,11.96,candy,3,0,1,7,1
SYN-1d447771,Synthetic vegetables 28,0.56,0.42,0.39,11.5,vegetables,2,1,0,10,1
SYN-ea52cb73,Synthetic pizza 29,1.17,0.4,0.46,13.1,pizza,1,0,1,7,1
SYN-a4a8248d,Synthetic herbs/spice 30,1.08,0.52,0.55,18.23,herbs/spice,3,0,1,1,1
